Product Name,,Rokomari (Book Shop),TC Start Date,28/08/2024,TC Execution Start Date,1/9/2024,,,,,TEST CASE,,,,,,,,,,,,,,,,,,
Module Name,,User Experience & Commerce Management,TC End Date,17/09/2024,TC Execution End Date,17/09/2024,,,,,PASS,63,,,,,,,,,,,,,,,,,
Epic,,,Test Case Developed By,Md Ashiqual Hossain,Browser (tested),Yes,,,,,FAIL,4,,,,,,,,,,,,,,,,,
Developer Name (TL),,,Test Case Reviewed By,Ehsanul Alam Sabbir,Performance (tested),Yes,,,,,NO RUN,2,,,,,,,,,,,,,,,,,
Test Executed by,,,,,,,,,,,BLOCKED,0,,,,,,,,,,,,,,,,,
,,,,,,,,,,,TOTAL,69,,,,,,,,,,,,,,,,,
Test_ID,Modul Name,Scenario ID,Scenario,Test Cases ,Exepected  Result,Actual Result ,Test Data,Reproducing Setps,Bug Screen Short ,Comment,Remark ,Final Status,Remarks,,,,,,,,,,,,,,,,
TC_Rokomari_001,User Experience,SID_001,Cross-Browser Compatibility,Verify Website Functionality in Different Browsers,The website should load properly in all tested browsers.,Website run properly in all the tested browser,"Browsers-Chrome, Internet Explorer, Mozilla Firefox,
Microsoft Edge, Opera Mini.","1. Go to different browsers.
2. Search 'Rokomari
3. Go to the website",,,,Passed,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TC_Rokomari_002,Log In,SID_002,UI,verify display and alignment of registration form elements,Interactive elements (input fields and buttons) are easily accessible on all devices,Interactive elements are accessible and functional on all devices.,"Desktop: 1920x1080, Tablet: 768x1024, Mobile: 375x667","1.Check form alignment on the registration page.
2.Test responsiveness across different devices.
3.Verify elements adjust correctly on all screen sizes.",,,,Passed,,,,,,,,,,,,,,,,,
TC_Rokomari_003,Log In,SID_002,UI,Verify default character and responsiveness,"Default characters are correct, and the form is user-friendly with smooth interactions","Default characters are correct, and the form is easy to use",N/A,"1 Check default characters on the registration page.
2.Verify responsiveness on different devices.",,,,Passed,,,,,,,,,,,,,,,,,
TC_Rokomari_004,Log In,SID_002,User Log In,Verify that a user can register using a valid email address/phone number,User is successfully registered and receives an OTP for verification,Elements should be in aligment from. .,"Emai: brejoquoleje-9302@yopmail.com, Phone Num: 01304043168","1.Go to  www.rokomari.com/login
2.Enter `brejoquoleje-9302@yopmail.com` or `01304043168`",,,,Passed,,,,,,,,,,,,,,,,,
TC_Rokomari_005,Log In,SID_002,User Log In,Verify all controls and elements are accessible using the Tab key.,"The Tab key provides sequential access to all controls, with visible focus on each element.",All the elements are accessable with the tab key,N/A,"1.Open the registration or login page.
2.Use the Tab key to navigate through all elements.
3.Observe the focus shift.",,,,Not Executed,,,,,,,,,,,,,,,,,
TC_Rokomari_006,Log In,SID_002,User Log In,"Verify the ""Remember Me"" checkbox is unchecked by default.","The ""Remember Me"" checkbox is unchecked with valid input","The ""Remember Me"" checkbox is checked.",N/A,"1.Open the registration page.
2.Verify that the ""Remember Me"" checkbox is unchecked by default.",,,,Failed,,,,,,,,,,,,,,,,,
TC_Rokomari_007,Log In,SID_002,User Log In,verfiy that entering a valid OTP completes the registration or login process.,User is successfully registered or logged in.,User go to the home page,OTP,"1. Request an OTP during the registration or login process.
2. Enter the valid OTP received via email or SMS.
3. Submit the form.",,,,Passed,,,,,,,,,,,,,,,,,
TC_Rokomari_008,Log In,SID_002,User Log In,Verify that an invalid OTP prevents access., User receives an error message indicating the OTP is invalid.,User can see Invalid OTP!,OTP,"1. Request an OTP 
2. Enter an incorrect OTP
3. click ""Log In"" button",,,,Passed,,,,,,,,,,,,,,,,,
TC_Rokomari_009,Log In,SID_002,User Log In, Verify that an expired OTP cannot be used., User receives an error message indicating the OTP has expired.,User can see Invalid OTP!,OTP,"1. Request an OTP 
2. Enter an incorrect OTP
3. click ""Log In"" button",,,,Passed,,,,,,,,,,,,,,,,,
TC_Rokomari_010,Log In,SID_002,User Log In,Verify that the Resend OTP resend works as expected,User receives a new OTP and can use it for login or registration.,User Get  new OTP,N/A,"1. Request an OTP 
2. click ""Resend OTP"" button",,,,Passed,,,,,,,,,,,,,,,,,
TC_Rokomari_011,Log In,SID_002,User Log In,Verify that the OTP expires after the designated time.,User receives an error message indicating the OTP has expired,user can see OTP has expired,N/A,"1. Request an OTP 
2. Wait till OTP expire
3. Attempt to use the OTP after it expires",,,,Passed,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TC_Rokomari_013,Home Page,SID_003,HomePage Load TIme,Verify that homepage loads within an acceptable time frame.,The homepage should load fully within 3-5 seconds.,Homepage Load within given time,N/A,1.Open the Rokomari homepage.,,,,Passed,,,,,,,,,,,,,,,,,
TC_Rokomari_014,Home Page,SID_003,Layout on desktop,Verify that the homepage layout displays correctly on a desktop browser,layout should be correctly aligned with no overlapping elements.,Layout working smoothly on desktop,N/A,1.Open the Rokomari homepage on a desktop browser.,,,,Passed,,,,,,,,,,,,,,,,,
TC_Rokomari_015,Home Page,SID_003,Responsive design on mobile,Verify the homepage is responsive on mobile devices.,The homepage layout should fit mobile screens without distortion.,Homepage working fine on mobile,N/A,1.Open the Rokomari homepage on mobile,,,,Passed,,,,,,,,,,,,,,,,,
TC_Rokomari_016,Home Page,SID_003,Promotional Banners,Verify homepage promotional banners display and work correctly.,Banners display without errors and redirect to the correct page.,Promotional banner display properly,N/A,"1.View promotional banners.
2.Click a banner.",,,,Passed,,,,,,,,,,,,,,,,,
TC_Rokomari_017,Home Page,SID_003,Carousel,Verify automatic image rotation.,Images rotate automatically at set intervals.,Image is rotating automatically,N/A,"1.Open the homepage.
2.Watch for automatic image rotation.",,,,Passed,,,,,,,,,,,,,,,,,
TC_Rokomari_018,Home Page,SID_003,Carousel,Verify manual image navigation.,Carousel moves to the next or previous image as clicked.,Manual rotation working fine,N/A,"1.Open the homepage.
2.Click navigation arrows",,,,Passed,,,,,,,,,,,,,,,,,
TC_Rokomari_019,Home Page,SID_003,Carousel, Verify images load promptly and are clear.,Images load quickly and smoothly.,Image Load smoothly and clearly ,N/A,"1.Open the homepage.
2.Observe image loading time.",,,,Passed,,,,,,,,,,,,,,,,,
TC_Rokomari_020,Home Page,SID_003,Carousel,Verify that clicking on a carousel image navigates to the correct linked page.,User is redirected to the linked page.,Directed to the correct page,N/A,1.Click a carousel image.,,,,Passed,,,,,,,,,,,,,,,,,
TC_Rokomari_021,Home Page,SID_003,Carousel,Verify that the carousel pauses rotation when hovered over.,Carousel pauses rotation when hovered over.,Rotation Pause,N/A,"1.Open the homepage.
2.Hover over the carousel.
",,,,Passed,,,,,,,,,,,,,,,,,
TC_Rokomari_022,Home Page,SID_003,Featured products ,Verify correct alignment of featured products.,Products are properly aligned and spaced.,All prodict are aligned properly,N/A,"1.Scroll to the featured products section.
2.Check alignment of images, titles, and prices.",,,,Passed,,,,,,,,,,,,,,,,,
TC_Rokomari_021,Home Page,SID_003,Featured products ,Ensure product images are clear and high-resolution.,All images are clear and high-resolution.,Images are clear ,N/A,"1.Scroll to the featured products section.
2.Inspect the clarity and quality of images.",,,,Passed,,,,,,,,,,,,,,,,,
TC_Rokomari_022,Home Page,SID_003,Featured products ,"Verify that hover effects (e.g., zoom, highlight) work on product images.",Hover effects are visible and function correctly.,Hover effect working fine.,N/A,"1.Hover over a featured product image.
2.Observe the hover effect.",,,,Passed,,,,,,,,,,,,,,,,,
TC_Rokomari_023,Home Page,SID_003,Featured products ,Ensure that clicking a featured product redirects to the correct product page.,User is redirected to the product’s detail page.,Directed to correct product page,N/A,1.Click on a featured product.,,,,Passed,,,,,,,,,,,,,,,,,
TC_Rokomari_024,Home Page,SID_003,Featured products ,Verify that products load promptly.,Products load quickly and display without delay.,Product load quickly,N/A,"1. Scroll to the featured products section.
",,,,Passed,,,,,,,,,,,,,,,,,
TC_Rokomari_025,Home Page,SID_003,Featured products ,Verify that the product titles and prices are accurate,Titles and prices are accurate and match product details.,Title and price are accurate ,N/A,"1. Scroll to the featured products section.
",,,,Passed,,,,,,,,,,,,,,,,,
TC_Rokomari_026,Home Page,SID_003,Featured products ,"Verify that ""View All"" functionality works",Additional products load correctly,View All function work accurately ,N/A,"1.""View All"" buttons in the featured products section.
2.Click to load additional products.",,,,Passed,,,,,,,,,,,,,,,,,
